,Heartrate,TotalSteps,sleepMin,Label
290,78.85569620000001,12307,496,LowA
291,76.35162095,12307,496,Low
292,79.88221709,12307,496,LowA
293,78.18015666,12307,496,Low
294,73.41498559,12307,496,Low
295,94.73361522,12307,496,LowA
296,94.52290076,12307,496,LowA
297,80.91293532,12307,496,LowA
298,89.13908873,12307,496,LowA
299,84.32653061,12307,496,LowA
300,74.96655518,12307,496,Low
301,66.86206897,12307,496,Low
302,89.52263374,16806,72,High
303,103.6756757,16806,72,High
304,114.28200000000001,16806,72,High
305,128.6074074,16806,72,High
306,86.56675063,16806,72,High
307,88.5743073,16806,72,High
308,84.42023346,16806,72,High
309,70.94985251,16806,72,High
310,72.28032345,16806,72,High
311,78.45821326,16806,72,High
312,97.46462264,16806,72,High
313,92.18974359,16806,72,High
314,93.07253886,16806,72,High
315,75.79508197,16806,72,High
316,69.58308157,16806,72,High
317,75.56119403,7238,516,Meduim
318,78.56957929,7238,516,Meduim
319,78.26988636,7238,516,Meduim
320,80.91369048,7238,516,Meduim
321,76.66769231,7238,516,Meduim
322,65.72079772,7238,516,Meduim
323,60.42813456,7238,516,Meduim
324,61.81388889,7238,516,Meduim
325,57.12609971,7238,516,Meduim
326,74.76349614,7238,516,Meduim
327,94.60141509,7238,516,LowA
328,85.74271845,7238,516,LowA
329,82.56008584,7238,516,Meduim
330,84.58560311,7238,516,LowA
331,79.78539823,7238,516,Meduim
332,88.33189655,7238,516,LowA
333,76.99492386,7238,516,Meduim
334,79.33558559,7238,516,Meduim
335,84.95035461,7238,516,LowA
336,90.01106195,7238,516,LowA
337,81.34096692,7238,516,Meduim
338,81.38131313,7238,516,Meduim
339,74.54495913,7238,516,Meduim
340,74.46131805,7238,516,Meduim
341,63.55485893,10254,549,Low
342,64.275,10254,549,Low
343,63.77848101,10254,549,Low
344,62.60252366,10254,549,Low
345,63.27531646,10254,549,Low
346,63.51153846,10254,549,Low
347,68.86833856,10254,549,Low
348,94.96825397,10254,549,LowA
349,81.14442013,10254,549,LowA
350,73.79052369,10254,549,Low
351,71.62052506,10254,549,Low
352,68.90697674,10254,549,Low
353,72.7970297,10254,549,Low
354,83.06237006,10254,549,LowA
355,75.67418546,10254,549,Low
356,70.62568306,10254,549,Low
357,73.12,10254,549,Low
358,73.42231947,10254,549,Low
359,81.35555556,10254,549,LowA
360,77.02619048,10254,549,Low
361,98.10556622,10254,549,LowA
362,101.2193396,10254,549,LowA
363,77.02114804,10254,549,Low
364,75.25423729,10254,549,Low
365,83.68161435,6429,477,Meduim
366,76.33608247,6429,477,Meduim
367,70.53547523,6429,477,Meduim
368,68.18761966,6429,477,Meduim
369,65.76629361,6429,477,Meduim
370,63.40431454,6429,477,Meduim
371,62.77251185,6429,477,Meduim
372,67.94559229,6429,477,Meduim
